NAME,the_geom,URL,LINE,
BROADWAY/LAFAY,POINT (-73.99620399840286 40.725297332299235),http://www.mta.info/nyct/subway/index.html,BDFQ6,
Broadway - Nassau St,POINT (-74.00762309342792 40.71016249872167),http://www.mta.info/nyct/subway/index.html,A-C,
Broadway Junction,POINT (-73.9042899974254 40.679366334574624),http://www.mta.info/nyct/subway/index.html,J-Z,
BROADWAY-ENY,POINT (-73.90311757843438 40.67845658203403),http://www.mta.info/nyct/subway/index.html,ACJLZ,
Broadway Junction,POINT (-73.90531600029104 40.67833399982758),http://www.mta.info/nyct/subway/index.html,A-C,
Bronx Park East,POINT (-73.86835609123708 40.848768999811156),http://www.mta.info/nyct/subway/index.html,2-5,
Brook Ave,POINT (-73.9192399981735 40.80756633325041),http://www.mta.info/nyct/subway/index.html,6,
BROOKLYN BRIDGE,POINT (-74.00413100111697 40.713065332984044),http://www.mta.info/nyct/subway/index.html,456JZ,
FLATBUSH AVE,POINT (-73.94754120719483 40.63284274046751),http://www.mta.info/nyct/subway/index.html,2-5,
Buhre Ave,POINT (-73.83256899924748 40.846810332614844),http://www.mta.info/nyct/subway/index.html,6,
Burke Ave,POINT (-73.86705361677089 40.87125913561442),http://www.mta.info/nyct/subway/index.html,2-5,
Burnside Ave,POINT (-73.90768400066499 40.853453334428735),http://www.mta.info/nyct/subway/index.html,4,
BUSHWICK AVE,POINT (-73.90526176227334 40.682860958491204),http://www.mta.info/nyct/subway/index.html,L,
Canal St,POINT (-74.00627700023756 40.722854331339036),http://www.mta.info/nyct/subway/index.html,1,
Canal St,POINT (-74.00019299900356 40.718803334727426),http://www.mta.info/nyct/subway/index.html,JNQRZ6,
Canal St,POINT (-73.99982638555147 40.71817420996139),http://www.mta.info/nyct/subway/index.html,J-Z,
Canal St,POINT (-74.00182599973189 40.71946533477728),http://www.mta.info/nyct/subway/index.html,N-R,
Canal St,POINT (-74.00105471253056 40.71881459682263),http://www.mta.info/nyct/subway/index.html,N-Q,
Canal St,POINT (-74.00522900191194 40.72082433307871),http://www.mta.info/nyct/subway/index.html,A-C-E,
ROCKAWAY PKY,POINT (-73.901849999934 40.64665400044553),http://www.mta.info/nyct/subway/index.html,L,
Carroll St,POINT (-73.99494697982026 40.68027368469693),http://www.mta.info/nyct/subway/index.html,F-G,
Castle Hill Ave,POINT (-73.85122199920897 40.83425533183211),http://www.mta.info/nyct/subway/index.html,6,
CATHEDRL-110 ST,POINT (-73.95806670664349 40.80058189158562),http://www.mta.info/nyct/subway/index.html,B-C,
110 ST-CATHEDRL,POINT (-73.96684700014322 40.803967333016914),http://www.mta.info/nyct/subway/index.html,1,
Central Ave,POINT (-73.9272429982954 40.69787333339047),http://www.mta.info/nyct/subway/index.html,M,
110 ST-CPN,POINT (-73.95182200107378 40.79907533284112),http://www.mta.info/nyct/subway/index.html,2-3,
Chambers St,POINT (-74.0085847360681 40.714111334148996),http://www.mta.info/nyct/subway/index.html,ACE23,
Chambers St,POINT (-74.00926600172447 40.71547833317367),http://www.mta.info/nyct/subway/index.html,1-2-3,
Chambers St,POINT (-74.00340673089009 40.7132341227328),http://www.mta.info/nyct/subway/index.html,JZ456,
Chauncey St,POINT (-73.91038356930946 40.682851634494526),http://www.mta.info/nyct/subway/index.html,J-Z,
CHRISTOPHER ST,POINT (-74.002905998897 40.73342233397504),http://www.mta.info/nyct/subway/index.html,1,
Church Ave,POINT (-73.97972116167199 40.64427233346608),http://www.mta.info/nyct/subway/index.html,F-G,
Church Ave,POINT (-73.96288246144869 40.6504935798757),http://www.mta.info/nyct/subway/index.html,B-Q,
Church Ave,POINT (-73.94945514032199 40.65086102070915),http://www.mta.info/nyct/subway/index.html,2-5,
City Hall,POINT (-74.00698581794778 40.713272664531246),http://www.mta.info/nyct/subway/index.html,R,
Clark St,POINT (-73.99308599832662 40.69746633298482),http://www.mta.info/nyct/subway/index.html,2-3,
Classon Ave,POINT (-73.95999000126959 40.68888933367643),http://www.mta.info/nyct/subway/index.html,G,
Cleveland St,POINT (-73.8851940012429 40.679778332299975),http://www.mta.info/nyct/subway/index.html,J,
CLINTON-WASH AV,POINT (-73.96679599830863 40.688094334588634),http://www.mta.info/nyct/subway/index.html,G,
CLINTON-WASH AV,POINT (-73.96583799868554 40.683263332875605),http://www.mta.info/nyct/subway/index.html,C,
STILLWELL AVE,POINT (-73.98123599855974 40.57728133344397),http://www.mta.info/nyct/subway/index.html,D-F-N-Q,
Cortelyou Road,POINT (-73.96379005494865 40.640940498719964),http://www.mta.info/nyct/subway/index.html,B-Q,
CORTLANDT ST,POINT (-74.0111319648397 40.710513317670305),http://www.mta.info/nyct/subway/index.html,R,
Cortlandt St (Temporarily Closed),POINT (-74.01218800069755 40.71183533452517),http://www.mta.info/nyct/subway/index.html,1,
Court St,POINT (-73.99181830913483 40.694196814120716),http://www.mta.info/nyct/subway/index.html,N-R,
Crescent St,POINT (-73.87392925190409 40.68315299047885),http://www.mta.info/nyct/subway/index.html,J-Z,
CROWN HTS-UTICA,POINT (-73.93293256066349 40.66897864436661),http://www.mta.info/nyct/subway/index.html,3-4,
